Name,Batted,BA,HR,Height,Weight,BMI,BMI_Classification
Denny Lemaster,R,0.13,4,73,182,24.009382623381498,normal
Joe Nolan,L,0.263,27,71,175,24.404879984130133,normal
Denny Doyle,L,0.25,16,69,175,25.84015963032976,overweight
Jose Cardenal,R,0.275,138,70,150,21.520408163265305,normal
Mike Ryan,R,0.193,28,74,205,26.31756756756757,overweight
Fritz Peterson,B,0.159,2,72,185,25.0877700617284,overweight
Dick Bertell,R,0.25,10,72,200,27.12191358024691,overweight
Rod Kanehl,R,0.24100000000000002,6,73,180,23.74554325389379,normal
Juan Bonilla,R,0.256,7,69,170,25.10186935517748,overweight
Frank Tepedino,L,0.24100000000000002,6,71,185,25.799444554651853,overweight
Rick Wise,R,0.195,15,73,180,23.74554325389379,normal
Darrell Evans,L,0.248,414,74,200,25.675675675675674,overweight
Buck Martinez,R,0.225,58,70,190,27.259183673469387,overweight
John Wockenfuss,R,0.262,86,72,190,25.765817901234566,overweight
Tommy McCraw,L,0.24600000000000002,75,72,183,24.816550925925924,normal
Lee Lacy,R,0.28600000000000003,91,73,175,23.085944830174512,normal
Pete Rose,B,0.303,160,71,192,26.775639754017057,overweight
Danny Walton,R,0.223,28,72,195,26.44386574074074,overweight
Bobby Cox,R,0.225,9,71,180,25.102162269390995,overweight
Brad Wellman,R,0.231,6,72,170,23.053626543209877,normal
Jeff Newman,R,0.22399999999999998,63,74,215,27.60135135135135,overweight
Pedro Gonzalez,R,0.244,8,72,176,23.86728395061729,normal
Tommie Reynolds,R,0.226,12,74,190,24.39189189189189,normal
Gene Clines,R,0.27699999999999997,5,69,170,25.10186935517748,overweight
Jim Hickman,R,0.252,159,75,192,23.995733333333334,normal
Jack Billingham,R,0.111,0,76,195,23.73355263157895,normal
Jerry Buchek,R,0.22,22,71,185,25.799444554651853,overweight
Ivan DeJesus,R,0.254,21,71,175,24.404879984130133,normal
Gary Nolan,R,0.138,1,74,197,25.29054054054054,overweight
Fred Whitfield,L,0.253,108,73,190,25.064740101332333,overweight
Larry Dierker,R,0.136,4,76,215,26.167763157894736,overweight
Dave Skaggs,R,0.24100000000000002,3,74,200,25.675675675675674,overweight
Dick Ruthven,R,0.183,1,75,190,23.745777777777775,normal
Dave Kingman,R,0.23600000000000002,442,78,210,24.26528599605523,normal
Eric Soderholm,R,0.264,102,71,187,26.0783574687562,overweight
Ed Brinkman,R,0.22399999999999998,60,72,170,23.053626543209877,normal
Wayne Garrett,L,0.239,61,71,175,24.404879984130133,normal
Tony Muser,L,0.259,7,74,180,23.10810810810811,normal
Ted Ford,R,0.21899999999999997,17,70,180,25.82448979591837,overweight
Jim Lyttle,L,0.248,9,72,180,24.409722222222225,normal
Scot Thompson,L,0.262,5,75,195,24.370666666666665,normal
Gene Locklear,L,0.27399999999999997,9,70,165,23.672448979591838,normal
Bo Diaz,R,0.255,87,71,185,25.799444554651853,overweight
Bump Wills,B,0.266,36,69,172,25.397185465238394,overweight
Pat Putnam,L,0.255,63,72,205,27.79996141975309,overweight
Kurt Bevacqua,R,0.23600000000000002,27,72,180,24.409722222222225,normal
Syd O'Brien,R,0.23,24,73,185,24.405141677613063,normal
Chris Chambliss,L,0.27899999999999997,185,73,195,25.724338525051607,overweight
Tom Satriano,L,0.225,21,73,185,24.405141677613063,normal
Jeffrey Leonard,R,0.266,144,74,200,25.675675675675674,overweight
Dal Maxvill,R,0.217,6,71,157,21.894663757191037,normal
Cesar Tovar,R,0.278,46,69,155,22.88699852972065,normal
Mickey Lolich,B,0.11,0,73,170,22.426346406455245,normal
Jack Heidemann,R,0.21100000000000002,9,72,175,23.731674382716047,normal
Rich Rollins,R,0.26899999999999996,77,70,185,26.541836734693877,overweight
Walt Bond,L,0.256,41,79,228,25.682422688671686,overweight
Merv Rettenmund,R,0.271,66,70,190,27.259183673469387,overweight
Byron Browne,R,0.23600000000000002,30,74,190,24.39189189189189,normal
Hector Torres,R,0.21600000000000003,18,72,175,23.731674382716047,normal
Walt Williams,R,0.27,33,66,165,26.62878787878788,overweight
Jerry Koosman,R,0.11900000000000001,2,74,205,26.31756756756757,overweight
Steve Lombardozzi,R,0.233,20,72,175,23.731674382716047,normal
Joe Azcue,R,0.252,50,72,190,25.765817901234566,overweight
Elliott Maddox,R,0.261,18,71,180,25.102162269390995,overweight
Omar Moreno,L,0.252,37,74,180,23.10810810810811,normal
Julian Javier,R,0.257,78,73,175,23.085944830174512,normal
Elio Chacon,R,0.23199999999999998,4,69,160,23.625288804872927,normal
Rusty Torres,B,0.212,35,70,175,25.107142857142854,overweight
John Stearns,R,0.26,46,72,185,25.0877700617284,overweight
Larry Brown,R,0.233,47,70,160,22.955102040816325,normal
Tommy Dean,R,0.18,4,72,165,22.375578703703702,normal
Marty Martinez,B,0.243,0,72,170,23.053626543209877,normal
Bruce Boisclair,L,0.263,10,74,185,23.75,normal
Ken Singleton,B,0.282,246,76,210,25.559210526315788,overweight
Frank White,R,0.255,160,71,165,23.010315413608414,normal
Jim Fairey,L,0.235,7,70,190,27.259183673469387,overweight
Tom Brookens,R,0.24600000000000002,71,70,165,23.672448979591838,normal
Gary Thomasson,L,0.249,61,73,180,23.74554325389379,normal
Otto Velez,R,0.251,78,72,170,23.053626543209877,normal
Tony Scott,B,0.249,17,72,164,22.239969135802472,normal
Ray Oyler,R,0.175,15,71,165,23.010315413608414,normal
Floyd Robinson,L,0.28300000000000003,67,69,175,25.84015963032976,overweight
Steve Jeltz,B,0.21,5,71,180,25.102162269390995,overweight
Lou Brock,L,0.293,149,71,170,23.70759769886927,normal
Joe Lovitto,B,0.21600000000000003,4,72,185,25.0877700617284,overweight
Wayne Comer,R,0.22899999999999998,16,70,175,25.107142857142854,overweight
Dave Collins,B,0.272,32,71,175,24.404879984130133,normal
Ed Spiezio,R,0.23800000000000002,39,71,180,25.102162269390995,overweight
Rico Petrocelli,R,0.251,210,72,175,23.731674382716047,normal
Johnny Lewis,L,0.22699999999999998,22,73,189,24.932820416588477,normal
Dick Simpson,R,0.207,15,76,176,21.42105263157895,normal
Ken Boswell,L,0.248,31,72,170,23.053626543209877,normal
Ken McMullen,R,0.248,156,75,190,23.745777777777775,normal
Steve Swisher,R,0.21600000000000003,20,74,205,26.31756756756757,overweight
Dick Howser,R,0.248,16,68,155,23.565095155709344,normal
Manny Castillo,B,0.242,3,69,160,23.625288804872927,normal
Mike Ramsey,B,0.24,2,73,170,22.426346406455245,normal
Willie Crawford,L,0.268,86,73,197,25.988177894539312,overweight
Willie Norwood,R,0.242,18,72,185,25.0877700617284,overweight
Jeff Stone,L,0.27699999999999997,11,72,175,23.731674382716047,normal
Joe Lahoud,L,0.223,65,73,198,26.12009757928317,overweight
Tim Flannery,L,0.255,9,71,175,24.404879984130133,normal
Dave McKay,B,0.22899999999999998,21,73,195,25.724338525051607,overweight
Benny Ayala,R,0.251,38,73,185,24.405141677613063,normal
Greg Gross,L,0.287,7,70,160,22.955102040816325,normal
Sal Butera,R,0.22699999999999998,8,72,190,25.765817901234566,overweight
Jack Brohamer,L,0.245,30,70,165,23.672448979591838,normal
Von Joshua,L,0.273,30,70,170,24.389795918367348,normal
Eddie Milner,L,0.253,42,71,173,24.125967070025787,normal
Johnny Jeter,R,0.244,18,73,180,23.74554325389379,normal
Angel Salazar,R,0.212,2,72,180,24.409722222222225,normal
Tony Oliva,L,0.304,220,73,175,23.085944830174512,normal
Cito Gaston,R,0.256,91,75,190,23.745777777777775,normal
Cookie Rojas,R,0.263,54,70,160,22.955102040816325,normal
Rich Morales,R,0.195,6,71,170,23.70759769886927,normal
Dan Ford,R,0.27,121,73,185,24.405141677613063,normal
Darryl Motley,R,0.243,44,69,196,28.94097878596934,overweight
Ozzie Virgil,R,0.243,98,73,180,23.74554325389379,normal
Johnny Oates,L,0.25,14,71,188,26.217813925808372,overweight
Mike Phillips,L,0.24,11,72,170,23.053626543209877,normal
Ron Santo,R,0.27699999999999997,342,72,190,25.765817901234566,overweight
Jay Johnstone,L,0.267,102,73,175,23.085944830174512,normal
Jim Ray Hart,R,0.278,170,71,185,25.799444554651853,overweight
Marc Hill,R,0.223,34,75,205,25.620444444444445,overweight
Chico Salmon,R,0.249,31,70,160,22.955102040816325,normal
Joe Niekro,R,0.156,1,73,185,24.405141677613063,normal
Andy Etchebarren,R,0.235,49,73,190,25.064740101332333,overweight
Ken Berry,R,0.255,58,72,175,23.731674382716047,normal
Dave Concepcion,R,0.267,101,74,155,19.89864864864865,normal
Junior Moore,R,0.264,7,71,185,25.799444554651853,overweight
Mike Richardt,R,0.226,4,72,170,23.053626543209877,normal
Chris Brown,R,0.26899999999999996,38,72,185,25.0877700617284,overweight
Al Bumbry,L,0.281,54,68,170,25.84558823529412,overweight
Al Downing,R,0.127,2,71,175,24.404879984130133,normal
Bob Didier,B,0.22899999999999998,0,72,190,25.765817901234566,overweight
Jake Gibbs,L,0.233,25,72,180,24.409722222222225,normal
Garry Hancock,L,0.247,12,72,175,23.731674382716047,normal
Ed Kranepool,L,0.261,118,75,205,25.620444444444445,overweight
Rick Rhoden,R,0.23800000000000002,9,75,195,24.370666666666665,normal
Denny McLain,R,0.133,1,73,185,24.405141677613063,normal
Chuck Hiller,L,0.243,20,71,170,23.70759769886927,normal
Jorge Orta,L,0.278,130,70,170,24.389795918367348,normal
Dave Cash,R,0.28300000000000003,21,71,170,23.70759769886927,normal
Bucky Dent,R,0.247,40,69,170,25.10186935517748,overweight
Tony Gonzalez,L,0.28600000000000003,103,69,170,25.10186935517748,overweight
Larry Haney,R,0.215,12,74,195,25.033783783783786,overweight
Billy Conigliaro,R,0.256,40,72,180,24.409722222222225,normal
Gary Roenicke,R,0.247,121,75,205,25.620444444444445,overweight
Don Lock,R,0.23800000000000002,122,74,195,25.033783783783786,overweight
Billy Cowan,R,0.23600000000000002,40,72,170,23.053626543209877,normal
Billy Smith,B,0.23,17,74,185,23.75,normal
Tony Perez,R,0.27899999999999997,379,74,175,22.466216216216218,normal
Chuck Schilling,R,0.239,23,70,160,22.955102040816325,normal
Hal McRae,R,0.29,191,71,180,25.102162269390995,overweight
Dave Roberts,R,0.239,49,75,215,26.87022222222222,overweight
Jim Lefebvre,B,0.251,74,72,180,24.409722222222225,normal
Charlie Spikes,R,0.24600000000000002,65,75,215,26.87022222222222,overweight
Steve Whitaker,L,0.23,24,72,180,24.409722222222225,normal
Manny Jimenez,L,0.272,26,73,185,24.405141677613063,normal
Duffy Dyer,R,0.221,30,72,187,25.358989197530864,overweight
Ken Henderson,B,0.257,122,74,180,23.10810810810811,normal
Vern Fuller,R,0.23199999999999998,14,73,170,22.426346406455245,normal
Wayne Gross,L,0.233,121,74,210,26.959459459459456,overweight
Mike Champion,R,0.22899999999999998,2,72,185,25.0877700617284,overweight
Paul Casanova,R,0.225,50,76,180,21.907894736842103,normal
Steve Rogers,R,0.138,0,74,175,22.466216216216218,normal
Terry Crowley,L,0.25,42,72,180,24.409722222222225,normal
Horace Clarke,B,0.256,27,69,170,25.10186935517748,overweight
Lou Clinton,R,0.247,65,73,185,24.405141677613063,normal
Larry Cox,R,0.221,12,70,178,25.537551020408163,overweight
Nate Colbert,R,0.243,173,74,190,24.39189189189189,normal
Phil Roof,R,0.215,43,74,190,24.39189189189189,normal
Chuck Hinton,R,0.264,113,73,180,23.74554325389379,normal
Tim Cullen,R,0.22,9,73,185,24.405141677613063,normal
Tim Harkness,L,0.235,14,74,182,23.364864864864867,normal
Rick Bosetti,R,0.25,17,71,185,25.799444554651853,overweight
Ron Pruitt,R,0.26899999999999996,12,72,185,25.0877700617284,overweight
George Foster,R,0.27399999999999997,348,73,180,23.74554325389379,normal
Jerry White,B,0.253,21,70,164,23.528979591836734,normal
Angel Mangual,R,0.245,22,70,178,25.537551020408163,overweight
Ken Gerhart,R,0.221,24,72,190,25.765817901234566,overweight
Mike Hershberger,R,0.252,26,70,175,25.107142857142854,overweight
Jim French,L,0.196,5,68,180,27.3659169550173,overweight
Dave Roberts,L,0.19399999999999998,7,75,195,24.370666666666665,normal
Jim Mason,L,0.203,12,74,185,23.75,normal
Willie Smith,L,0.248,46,72,182,24.68094135802469,normal
Jose Arcia,R,0.215,1,75,170,21.24622222222222,normal
Leon Durham,L,0.27699999999999997,147,73,185,24.405141677613063,normal
Paul Householder,B,0.23600000000000002,29,72,180,24.409722222222225,normal
Aurelio Rodriguez,R,0.237,124,70,180,25.82448979591837,overweight
Jimmy Stewart,B,0.237,8,72,165,22.375578703703702,normal
Dick Phillips,L,0.22899999999999998,12,72,180,24.409722222222225,normal
Andres Thomas,R,0.23399999999999999,42,73,170,22.426346406455245,normal
Ed Crosby,L,0.22,0,74,175,22.466216216216218,normal
Mike de la Hoz,R,0.251,25,71,175,24.404879984130133,normal
Frank Taveras,R,0.255,2,72,155,21.019483024691358,normal
Joe Nossek,R,0.228,3,72,178,24.138503086419753,normal
Larry Stahl,L,0.23199999999999998,36,72,175,23.731674382716047,normal
Jose Cruz,L,0.284,165,72,170,23.053626543209877,normal
Don Mason,L,0.205,3,71,160,22.313033128347552,normal
Bill Robinson,R,0.258,166,74,189,24.263513513513512,normal
Sal Bando,R,0.254,242,72,195,26.44386574074074,overweight
George Mitterwald,R,0.23600000000000002,76,74,195,25.033783783783786,overweight
Craig Robinson,R,0.21899999999999997,0,70,165,23.672448979591838,normal
Bob Tillman,R,0.23199999999999998,79,76,205,24.950657894736842,normal
Pat Corrales,R,0.21600000000000003,4,72,180,24.409722222222225,normal
Mike Tyson,R,0.24100000000000002,27,69,170,25.10186935517748,overweight
Rafael Landestoy,B,0.237,4,70,165,23.672448979591838,normal
Duane Josephson,R,0.258,23,72,190,25.765817901234566,overweight
Duane Walker,L,0.22899999999999998,24,72,185,25.0877700617284,overweight
Glenn Hubbard,R,0.244,70,69,150,22.148708254568366,normal
Roger Freed,R,0.245,22,72,190,25.765817901234566,overweight
George Hendrick,R,0.278,267,75,195,24.370666666666665,normal
Rod Carew,L,0.32799999999999996,92,72,170,23.053626543209877,normal
Bob Davis,R,0.19699999999999998,6,72,180,24.409722222222225,normal
Toby Harrah,R,0.264,195,72,175,23.731674382716047,normal
Rick Manning,L,0.257,56,73,180,23.74554325389379,normal
Gary Matthews,R,0.281,234,74,185,23.75,normal
Cesar Geronimo,L,0.258,51,72,165,22.375578703703702,normal
Billy Bryan,L,0.21600000000000003,41,76,200,24.342105263157897,normal
Terry Whitfield,L,0.281,33,73,197,25.988177894539312,overweight
Mario Mendoza,R,0.215,4,71,170,23.70759769886927,normal
Fred Lynn,L,0.28300000000000003,306,73,185,24.405141677613063,normal
Larry Hisle,R,0.273,166,74,193,24.777027027027028,normal
Graig Nettles,L,0.248,390,72,180,24.409722222222225,normal
Dave Engle,R,0.262,31,75,210,26.24533333333333,overweight
Mike Easler,L,0.293,118,72,190,25.765817901234566,overweight
Rick Sweet,B,0.23399999999999999,6,73,200,26.383936948770877,overweight
Thurman Munson,R,0.292,113,71,190,26.496726839912714,overweight
Rick Monday,L,0.264,241,75,193,24.120711111111113,normal
Mike Sadek,R,0.226,5,69,165,24.363579080025207,normal
Mark Belanger,R,0.228,20,73,170,22.426346406455245,normal
Ron Hunt,R,0.273,39,72,186,25.22337962962963,overweight
Joe Keough,L,0.24600000000000002,9,72,185,25.0877700617284,overweight
Vic Correll,R,0.22899999999999998,29,70,185,26.541836734693877,overweight
Jackie Hernandez,R,0.20800000000000002,12,71,165,23.010315413608414,normal
Tony Solaita,L,0.255,50,72,210,28.47800925925926,overweight
U L Washington,B,0.251,27,71,175,24.404879984130133,normal
Joe Foy,R,0.248,58,72,215,29.156057098765434,overweight
Ed Goodson,L,0.26,30,75,180,22.496000000000002,normal
Mickey Klutts,R,0.24100000000000002,14,71,170,23.70759769886927,normal
Leroy Stanton,R,0.244,77,73,195,25.724338525051607,overweight
Danny Ainge,R,0.22,2,76,175,21.29934210526316,normal
Adolfo Phillips,R,0.247,59,73,175,23.085944830174512,normal
Marv Breeding,R,0.25,7,72,175,23.731674382716047,normal
Dick McAuliffe,L,0.247,197,71,176,24.544336441182303,normal
Joe Horlen,R,0.134,0,72,170,23.053626543209877,normal
Glenn Burke,R,0.237,2,72,195,26.44386574074074,overweight
Terry Humphrey,R,0.21100000000000002,6,75,185,23.120888888888892,normal
Enzo Hernandez,R,0.22399999999999998,2,68,155,23.565095155709344,normal
Cesar Gutierrez,R,0.235,0,69,155,22.88699852972065,normal
Coco Laboy,R,0.233,28,70,165,23.672448979591838,normal
Ted Kubiak,B,0.231,13,72,175,23.731674382716047,normal
Jim Morrison,R,0.26,112,71,175,24.404879984130133,normal
Bobby Knoop,R,0.23600000000000002,56,73,170,22.426346406455245,normal
Bobby Brown,B,0.245,26,74,190,24.39189189189189,normal
Tom Hutton,L,0.248,22,71,180,25.102162269390995,overweight
Ron Hodges,L,0.24,19,73,185,24.405141677613063,normal
Rich Chiles,L,0.254,6,71,170,23.70759769886927,normal
Tom Paciorek,R,0.282,86,76,215,26.167763157894736,overweight
Gary Woods,R,0.243,13,74,185,23.75,normal
Bob Montgomery,R,0.258,23,73,195,25.724338525051607,overweight
Jeff Burroughs,R,0.261,240,73,200,26.383936948770877,overweight
Rusty Staub,L,0.27899999999999997,292,74,190,24.39189189189189,normal
Jim Norris,L,0.264,7,70,175,25.107142857142854,overweight
Oscar Gamble,L,0.265,200,71,160,22.313033128347552,normal
George Vukovich,L,0.268,27,72,198,26.850694444444446,overweight
Craig Reynolds,L,0.256,42,73,175,23.085944830174512,normal
Paul Blair,R,0.25,134,72,168,22.782407407407412,normal
Al Cowens,R,0.27,108,73,197,25.988177894539312,overweight
Al Oliver,L,0.303,219,72,195,26.44386574074074,overweight
Dave Hilton,R,0.213,6,71,191,26.636183296964887,overweight
Luis Alvarado,R,0.214,5,69,162,23.92060491493384,normal
Larry Parrish,R,0.263,256,75,190,23.745777777777775,normal
Woodie Fryman,R,0.138,2,75,197,24.62062222222222,normal
Bob Randall,R,0.257,1,74,175,22.466216216216218,normal
Jim Pankovits,R,0.25,9,70,170,24.389795918367348,normal
Carmen Fanzone,R,0.22399999999999998,20,72,200,27.12191358024691,overweight
Gary Allenson,R,0.221,19,71,185,25.799444554651853,overweight
Milt May,L,0.263,77,72,190,25.765817901234566,overweight
Mike Vail,R,0.27899999999999997,34,73,180,23.74554325389379,normal
Nick Esasky,R,0.25,122,75,200,24.995555555555555,normal
Jim Nettles,L,0.22,16,72,186,25.22337962962963,overweight
Chris Cannizzaro,R,0.235,18,72,190,25.765817901234566,overweight
Larry Biittner,L,0.273,29,74,205,26.31756756756757,overweight
Mel Stottlemyre,R,0.16,7,73,178,23.48170388440608,normal
Roy Smalley,B,0.257,163,73,185,24.405141677613063,normal
Andy Messersmith,R,0.17,5,73,200,26.383936948770877,overweight
Richie Zisk,R,0.287,207,73,200,26.383936948770877,overweight
Dave Chalk,R,0.252,15,70,175,25.107142857142854,overweight
Don Baylor,R,0.26,338,73,190,25.064740101332333,overweight
John Vukovich,R,0.161,6,73,187,24.668981047100768,normal
Danny Thompson,R,0.248,15,72,183,24.816550925925924,normal
Joe Simpson,L,0.242,9,75,175,21.871111111111112,normal
